"nav","nav_date","fund_name","daily_return"
48.72,2020-11-05,"Axis Mid Cap",0.0128898128898128
48.84,2020-11-06,"Axis Mid Cap",0.00246305418719221
49.41,2020-11-09,"Axis Mid Cap",0.0116707616707615
49.07,2020-11-10,"Axis Mid Cap",-0.00688119813802866
49.08,2020-11-11,"Axis Mid Cap",0.000203790503362503
49.45,2020-11-12,"Axis Mid Cap",0.00753871230643856
49.73,2020-11-13,"Axis Mid Cap",0.0056622851365014
50.57,2020-11-17,"Axis Mid Cap",0.016891212547758
51.03,2020-11-18,"Axis Mid Cap",0.00909630215542814
50.75,2020-11-19,"Axis Mid Cap",-0.00548696844993144
51.28,2020-11-20,"Axis Mid Cap",0.0104433497536946
51.92,2020-11-23,"Axis Mid Cap",0.0124804992199688
52.25,2020-11-24,"Axis Mid Cap",0.0063559322033898
51.23,2020-11-25,"Axis Mid Cap",-0.0195215311004785
51.52,2020-11-26,"Axis Mid Cap",0.00566074565684182
52.49,2020-11-27,"Axis Mid Cap",0.0188276397515528
52.71,2020-12-01,"Axis Mid Cap",0.00419127452848159
52.87,2020-12-02,"Axis Mid Cap",0.00303547713906273
52.81,2020-12-03,"Axis Mid Cap",-0.00113485908832977
53.06,2020-12-04,"Axis Mid Cap",0.00473395190304866
53.14,2020-12-07,"Axis Mid Cap",0.00150772710139462
53.08,2020-12-08,"Axis Mid Cap",-0.00112909296198725
53.26,2020-12-09,"Axis Mid Cap",0.00339110776186887
53.02,2020-12-10,"Axis Mid Cap",-0.00450619601952675
53.1,2020-12-11,"Axis Mid Cap",0.00150886457940397
53.49,2020-12-14,"Axis Mid Cap",0.00734463276836159
53.76,2020-12-15,"Axis Mid Cap",0.00504767246214238
54.11,2020-12-16,"Axis Mid Cap",0.00651041666666669
53.9,2020-12-17,"Axis Mid Cap",-0.00388098318240623
54.03,2020-12-18,"Axis Mid Cap",0.00241187384044532
52.43,2020-12-21,"Axis Mid Cap",-0.0296131778641496
52.71,2020-12-22,"Axis Mid Cap",0.0053404539385848
53.8,2020-12-23,"Axis Mid Cap",0.0206791880098652
54.23,2020-12-24,"Axis Mid Cap",0.00799256505576208
54.68,2020-12-28,"Axis Mid Cap",0.008297990042412
54.63,2020-12-29,"Axis Mid Cap",-0.000914411119239158
55.03,2020-12-30,"Axis Mid Cap",0.00732198425773382
55.17,2020-12-31,"Axis Mid Cap",0.00254406687261495
55.5,2021-01-01,"Axis Mid Cap",0.00598151169113646
56.26,2021-01-04,"Axis Mid Cap",0.0136936936936937
56.6,2021-01-05,"Axis Mid Cap",0.00604337006754361
56.54,2021-01-06,"Axis Mid Cap",-0.00106007067137813
56.7,2021-01-07,"Axis Mid Cap",0.00282985496993286
57.33,2021-01-08,"Axis Mid Cap",0.011111111111111
57.47,2021-01-11,"Axis Mid Cap",0.00244200244200245
57.23,2021-01-12,"Axis Mid Cap",-0.00417609187402126
56.95,2021-01-13,"Axis Mid Cap",-0.00489253887821062
56.94,2021-01-14,"Axis Mid Cap",-0.000175592625109835
56.2,2021-01-15,"Axis Mid Cap",-0.0129961362838074
55.29,2021-01-18,"Axis Mid Cap",-0.0161921708185054
56.23,2021-01-19,"Axis Mid Cap",0.0170012660517272
56.81,2021-01-20,"Axis Mid Cap",0.0103147785879425
56.57,2021-01-21,"Axis Mid Cap",-0.00422460834360151
55.87,2021-01-22,"Axis Mid Cap",-0.0123740498497437
55.45,2021-01-25,"Axis Mid Cap",-0.0075174512260604
54.84,2021-01-27,"Axis Mid Cap",-0.0110009017132552
54.53,2021-01-28,"Axis Mid Cap",-0.00565280816921959
54.06,2021-01-29,"Axis Mid Cap",-0.00861910874747843
55.51,2021-02-01,"Axis Mid Cap",0.0268220495745467
56.61,2021-02-02,"Axis Mid Cap",0.0198162493244461
57.6,2021-02-03,"Axis Mid Cap",0.0174880763116058
58.15,2021-02-04,"Axis Mid Cap",0.00954861111111106
57.8,2021-02-05,"Axis Mid Cap",-0.00601891659501292
58.68,2021-02-08,"Axis Mid Cap",0.0152249134948097
58.53,2021-02-09,"Axis Mid Cap",-0.00255623721881388
58.8,2021-02-10,"Axis Mid Cap",0.00461301896463345
58.93,2021-02-11,"Axis Mid Cap",0.00221088435374154
58.94,2021-02-12,"Axis Mid Cap",0.000169692855930732
59.91,2021-02-15,"Axis Mid Cap",0.0164574143196471
60.04,2021-02-16,"Axis Mid Cap",0.00216992154899019
59.81,2021-02-17,"Axis Mid Cap",-0.00383077948034638
59.78,2021-02-18,"Axis Mid Cap",-0.000501588363149994
59.31,2021-02-19,"Axis Mid Cap",-0.00786216125794578
58.66,2021-02-22,"Axis Mid Cap",-0.0109593660428259
58.9,2021-02-23,"Axis Mid Cap",0.00409137401977501
59.33,2021-02-24,"Axis Mid Cap",0.00730050933786078
59.79,2021-02-25,"Axis Mid Cap",0.00775324456430138
59.04,2021-02-26,"Axis Mid Cap",-0.0125439036628199
59.7,2021-03-01,"Axis Mid Cap",0.0111788617886179
60.74,2021-03-02,"Axis Mid Cap",0.0174204355108878
61.61,2021-03-03,"Axis Mid Cap",0.0143233454066513
61.65,2021-03-04,"Axis Mid Cap",0.000649245252394078
60.91,2021-03-05,"Axis Mid Cap",-0.0120032441200325
61.03,2021-03-08,"Axis Mid Cap",0.00197011984895755
61.27,2021-03-09,"Axis Mid Cap",0.00393249221694252
61.84,2021-03-10,"Axis Mid Cap",0.00930308470703444
61.52,2021-03-12,"Axis Mid Cap",-0.00517464424320828
61.23,2021-03-15,"Axis Mid Cap",-0.00471391417425238
61.36,2021-03-16,"Axis Mid Cap",0.00212314225053083
60.32,2021-03-17,"Axis Mid Cap",-0.0169491525423729
59.47,2021-03-18,"Axis Mid Cap",-0.0140915119363395
59.86,2021-03-19,"Axis Mid Cap",0.006557928367244
60.14,2021-03-22,"Axis Mid Cap",0.00467758102238559
60.17,2021-03-23,"Axis Mid Cap",0.000498836049218509
59.24,2021-03-24,"Axis Mid Cap",-0.0154562074123317
58.49,2021-03-25,"Axis Mid Cap",-0.012660364618501
59.35,2021-03-26,"Axis Mid Cap",0.0147033680971106
60.19,2021-03-30,"Axis Mid Cap",0.0141533277169334
60.41,2021-03-31,"Axis Mid Cap",0.00365509220800796
60.82,2021-04-01,"Axis Mid Cap",0.00678695580201959
59.8,2021-04-05,"Axis Mid Cap",-0.0167707990792503
59.83,2021-04-06,"Axis Mid Cap",0.000501672240802695
60.87,2021-04-07,"Axis Mid Cap",0.0173825839879659
61.26,2021-04-08,"Axis Mid Cap",0.00640709709216364
61.46,2021-04-09,"Axis Mid Cap",0.00326477309826972
59.15,2021-04-12,"Axis Mid Cap",-0.0375854214123007
59.27,2021-04-13,"Axis Mid Cap",0.00202874049027903
59.47,2021-04-15,"Axis Mid Cap",0.00337438839210386
60.24,2021-04-16,"Axis Mid Cap",0.0129477047250715
59.6,2021-04-19,"Axis Mid Cap",-0.0106241699867198
59.59,2021-04-20,"Axis Mid Cap",-0.000167785234899295
59.61,2021-04-22,"Axis Mid Cap",0.000335626783017218
59.85,2021-04-23,"Axis Mid Cap",0.004026170105687
60.21,2021-04-26,"Axis Mid Cap",0.00601503759398495
