NAV,Date
44.1108,16-Oct-20
44.4143,19-Oct-20
44.4056,20-Oct-20
44.3429,21-Oct-20
44.6417,22-Oct-20
45.0779,23-Oct-20
44.7327,26-Oct-20
44.9812,27-Oct-20
44.657,28-Oct-20
44.5415,29-Oct-20
44.5895,30-Oct-20
44.2321,02-Nov-20
44.4157,03-Nov-20
44.493,04-Nov-20
45.3123,05-Nov-20
45.5951,06-Nov-20
46.0497,09-Nov-20
45.7965,10-Nov-20
46.1118,11-Nov-20
46.6131,12-Nov-20
47.0735,13-Nov-20
47.8369,17-Nov-20
48.2542,18-Nov-20
48.1499,19-Nov-20
48.5835,20-Nov-20
49.1031,23-Nov-20
49.4119,24-Nov-20
48.8291,25-Nov-20
49.0635,26-Nov-20
50.3139,27-Nov-20
50.8939,01-Dec-20
50.9452,02-Dec-20
51.3248,03-Dec-20
51.592,04-Dec-20
52.13,07-Dec-20
51.6608,08-Dec-20
51.9511,09-Dec-20
51.7909,10-Dec-20
52.0163,11-Dec-20
52.4013,14-Dec-20
52.5037,15-Dec-20
53.0849,16-Dec-20
53.1568,17-Dec-20
53.0396,18-Dec-20
50.6999,21-Dec-20
51.2542,22-Dec-20
52.5325,23-Dec-20
52.7761,24-Dec-20
53.4773,28-Dec-20
53.6006,29-Dec-20
53.7607,30-Dec-20
54.0025,31-Dec-20
54.5428,01-Jan-21
55.3149,04-Jan-21
55.6107,05-Jan-21
55.6925,06-Jan-21
56.1361,07-Jan-21
56.5561,08-Jan-21
56.3357,11-Jan-21
56.3683,12-Jan-21
56.3828,13-Jan-21
56.3147,14-Jan-21
55.863,15-Jan-21
54.9495,18-Jan-21
55.7284,19-Jan-21
55.9987,20-Jan-21
55.6336,21-Jan-21
55.139,22-Jan-21
54.5016,25-Jan-21
54.245,27-Jan-21
54.0773,28-Jan-21
53.9911,29-Jan-21
55.2887,01-Feb-21
55.8121,02-Feb-21
56.7949,03-Feb-21
57.6133,04-Feb-21
58.1143,05-Feb-21
59.1998,08-Feb-21
59.1074,09-Feb-21
59.3624,10-Feb-21
60.3859,11-Feb-21
60.4006,12-Feb-21
60.743,15-Feb-21
60.8337,16-Feb-21
61.2674,17-Feb-21
61.5803,18-Feb-21
61.1359,19-Feb-21
60.4374,22-Feb-21
60.804,23-Feb-21
61.5004,24-Feb-21
62.0977,25-Feb-21
61.462,26-Feb-21
62.7583,01-Mar-21
64.0334,02-Mar-21
64.69,03-Mar-21
65.2266,04-Mar-21
64.0828,05-Mar-21
64.3105,08-Mar-21
64.3209,09-Mar-21
65.0005,10-Mar-21
65.1094,12-Mar-21
64.7533,15-Mar-21
65.0436,16-Mar-21
63.5226,17-Mar-21
62.608,18-Mar-21
62.9917,19-Mar-21
63.273,22-Mar-21
63.851,23-Mar-21
62.8858,24-Mar-21
61.7086,25-Mar-21
62.5491,26-Mar-21
63.3914,30-Mar-21
63.935,31-Mar-21
64.9797,01-Apr-21
64.0751,05-Apr-21
64.6124,06-Apr-21
65.4634,07-Apr-21
66.0653,08-Apr-21
66.3294,09-Apr-21
63.2106,12-Apr-21
63.9933,13-Apr-21
63.8082,15-Apr-21
64.54,16-Apr-21
63.7685,19-Apr-21
64.0918,20-Apr-21
64.5696,22-Apr-21
64.8459,23-Apr-21
65.3961,26-Apr-21
66.1876,27-Apr-21
66.9318,28-Apr-21
67.1829,29-Apr-21
67.2137,30-Apr-21
68.5099,03-May-21
67.9539,04-May-21
68.5281,05-May-21
68.7647,06-May-21
68.5838,07-May-21
69.1552,10-May-21
69.5276,11-May-21
69.3099,12-May-21
68.6482,14-May-21
69.7468,17-May-21
70.5321,18-May-21
71.0456,19-May-21
71.2713,20-May-21
71.414,21-May-21
71.918,24-May-21
71.9205,25-May-21
72.3311,26-May-21
72.8879,27-May-21
72.6938,28-May-21
72.9427,31-May-21
72.4304,01-Jun-21
73.2209,02-Jun-21
73.944,03-Jun-21
74.4317,04-Jun-21
75.3611,07-Jun-21
76.2031,08-Jun-21
75.4718,09-Jun-21
76.4326,10-Jun-21
76.7007,11-Jun-21
76.693,14-Jun-21
76.9729,15-Jun-21
76.3912,16-Jun-21
76.1084,17-Jun-21
75.4514,18-Jun-21
75.7369,21-Jun-21
76.2925,22-Jun-21
76.2857,23-Jun-21
76.1903,24-Jun-21
76.6054,25-Jun-21
76.9156,28-Jun-21
77.0479,29-Jun-21
77.818,30-Jun-21
78.3409,01-Jul-21
79.258,02-Jul-21
80.0213,05-Jul-21
79.6488,06-Jul-21
80.0073,07-Jul-21
79.8657,08-Jul-21
80.1952,09-Jul-21
80.5995,12-Jul-21
81.3928,13-Jul-21
81.6936,14-Jul-21
82.2027,15-Jul-21
82.7359,16-Jul-21
82.5801,19-Jul-21
81.539,20-Jul-21
82.6404,22-Jul-21
82.8264,23-Jul-21
83.1495,26-Jul-21
82.9793,27-Jul-21
82.6451,28-Jul-21
83.4881,29-Jul-21
83.7178,30-Jul-21
84.344,02-Aug-21
84.7551,03-Aug-21
83.7065,04-Aug-21
83.6888,05-Aug-21
83.6276,06-Aug-21
83.2741,09-Aug-21
81.7863,10-Aug-21
81.4055,11-Aug-21
83.0268,12-Aug-21
83.1732,13-Aug-21
82.6423,16-Aug-21
82.6083,17-Aug-21
82.3912,18-Aug-21
80.8135,20-Aug-21
79.7998,23-Aug-21
80.88,24-Aug-21
81.1731,25-Aug-21
81.48,26-Aug-21
82.1517,27-Aug-21
83.7479,30-Aug-21
84.3877,31-Aug-21
84.2435,01-Sep-21
84.9964,02-Sep-21
