"nav","nav_date","fund_name"
"54.9772","2021-04-15","SBI Large Cap"
"55.2985","2021-04-16","SBI Large Cap"
"54.2332","2021-04-19","SBI Large Cap"
"54.0661","2021-04-20","SBI Large Cap"
"54.5386","2021-04-22","SBI Large Cap"
"54.3278","2021-04-23","SBI Large Cap"
"54.7978","2021-04-26","SBI Large Cap"
"55.4","2021-04-27","SBI Large Cap"
"55.9823","2021-04-28","SBI Large Cap"
"55.8357","2021-04-29","SBI Large Cap"
"55.0254","2021-04-30","SBI Large Cap"
"55.0319","2021-05-03","SBI Large Cap"
"54.5077","2021-05-04","SBI Large Cap"
"55.0488","2021-05-05","SBI Large Cap"
"55.4807","2021-05-06","SBI Large Cap"
"55.6548","2021-05-07","SBI Large Cap"
"56.1864","2021-05-10","SBI Large Cap"
"55.9757","2021-05-11","SBI Large Cap"
"55.4557","2021-05-12","SBI Large Cap"
"55.1717","2021-05-14","SBI Large Cap"
"56.071","2021-05-17","SBI Large Cap"
"56.7906","2021-05-18","SBI Large Cap"
"56.6819","2021-05-19","SBI Large Cap"
"56.427","2021-05-20","SBI Large Cap"
"57.3736","2021-05-21","SBI Large Cap"
"57.6493","2021-05-24","SBI Large Cap"
"57.4996","2021-05-25","SBI Large Cap"
"57.6708","2021-05-26","SBI Large Cap"
"57.7337","2021-05-27","SBI Large Cap"
"58.0058","2021-05-28","SBI Large Cap"
"58.4442","2021-05-31","SBI Large Cap"
"58.354","2021-06-01","SBI Large Cap"
"58.6581","2021-06-02","SBI Large Cap"
"59.0083","2021-06-03","SBI Large Cap"
"58.9367","2021-06-04","SBI Large Cap"
"59.2532","2021-06-07","SBI Large Cap"
"59.2852","2021-06-08","SBI Large Cap"
"58.8805","2021-06-09","SBI Large Cap"
"59.2783","2021-06-10","SBI Large Cap"
"59.3109","2021-06-11","SBI Large Cap"
"59.3317","2021-06-14","SBI Large Cap"
"59.5577","2021-06-15","SBI Large Cap"
"59.1884","2021-06-16","SBI Large Cap"
"58.7895","2021-06-17","SBI Large Cap"
"58.5877","2021-06-18","SBI Large Cap"
"58.7867","2021-06-21","SBI Large Cap"
"58.9773","2021-06-22","SBI Large Cap"
"58.828","2021-06-23","SBI Large Cap"
"59.1754","2021-06-24","SBI Large Cap"
"59.7071","2021-06-25","SBI Large Cap"
