NAV,Date
59.91,15-Feb-21
60.04,16-Feb-21
59.81,17-Feb-21
59.78,18-Feb-21
59.31,19-Feb-21
58.66,22-Feb-21
58.9,23-Feb-21
59.33,24-Feb-21
59.79,25-Feb-21
59.04,26-Feb-21
59.7,01-Mar-21
60.74,02-Mar-21
61.61,03-Mar-21
61.65,04-Mar-21
60.91,05-Mar-21
61.03,08-Mar-21
61.27,09-Mar-21
61.84,10-Mar-21
61.52,12-Mar-21
61.23,15-Mar-21
61.36,16-Mar-21
60.32,17-Mar-21
59.47,18-Mar-21
59.86,19-Mar-21
60.14,22-Mar-21
60.17,23-Mar-21
59.24,24-Mar-21
58.49,25-Mar-21
59.35,26-Mar-21
60.19,30-Mar-21
60.41,31-Mar-21
60.82,01-Apr-21
59.8,05-Apr-21
59.83,06-Apr-21
60.87,07-Apr-21
61.26,08-Apr-21
61.46,09-Apr-21
59.15,12-Apr-21
59.27,13-Apr-21
59.47,15-Apr-21
60.24,16-Apr-21
59.6,19-Apr-21
59.59,20-Apr-21
59.61,22-Apr-21
59.85,23-Apr-21
60.21,26-Apr-21
60.81,27-Apr-21
61.48,28-Apr-21
61.47,29-Apr-21
61.05,30-Apr-21
61.28,03-May-21
60.84,04-May-21
61.42,05-May-21
62.07,06-May-21
61.7,07-May-21
61.62,10-May-21
62.02,11-May-21
61.44,12-May-21
61.09,14-May-21
62.06,17-May-21
63.02,18-May-21
62.79,19-May-21
62.89,20-May-21
63.27,21-May-21
63.43,24-May-21
63.46,25-May-21
63.75,26-May-21
64.04,27-May-21
63.86,28-May-21
64.34,31-May-21
64.19,01-Jun-21
64.66,02-Jun-21
65.34,03-Jun-21
65.4,04-Jun-21
65.82,07-Jun-21
65.99,08-Jun-21
65.58,09-Jun-21
66.47,10-Jun-21
66.51,11-Jun-21
66.65,14-Jun-21
67.22,15-Jun-21
66.84,16-Jun-21
66.76,17-Jun-21
66.46,18-Jun-21
66.65,21-Jun-21
66.65,22-Jun-21
66.45,23-Jun-21
66.74,24-Jun-21
67.04,25-Jun-21
67.46,28-Jun-21
67.16,29-Jun-21
67.53,30-Jun-21
67.6,01-Jul-21
68.09,02-Jul-21
68.26,05-Jul-21
68.55,06-Jul-21
68.67,07-Jul-21
68.56,08-Jul-21
68.6,09-Jul-21
68.72,12-Jul-21
68.92,13-Jul-21
69.49,14-Jul-21
69.71,15-Jul-21
69.7,16-Jul-21
69.43,19-Jul-21
69.02,20-Jul-21
69.76,22-Jul-21
69.87,23-Jul-21
70.11,26-Jul-21
69.77,27-Jul-21
69.71,28-Jul-21
70.43,29-Jul-21
70.75,30-Jul-21
71.94,02-Aug-21
72.07,03-Aug-21
71.54,04-Aug-21
71.67,05-Aug-21
71.5,06-Aug-21
71.27,09-Aug-21
71.07,10-Aug-21
70.43,11-Aug-21
71.02,12-Aug-21
71.2,13-Aug-21
71.14,16-Aug-21
71.94,17-Aug-21
72.17,18-Aug-21
71.68,20-Aug-21
71.46,23-Aug-21
72.13,24-Aug-21
72.26,25-Aug-21
72.46,26-Aug-21
73.02,27-Aug-21
74.04,30-Aug-21
74.94,31-Aug-21
75.29,01-Sep-21
75.79,02-Sep-21
75.95,03-Sep-21
76.27,06-Sep-21
76.06,07-Sep-21
