NAV,Date
301.215,25-Oct-21
302.64,26-Oct-21
303.231,27-Oct-21
297.448,28-Oct-21
296.13,29-Oct-21
299.151,01-Nov-21
299.918,02-Nov-21
300.193,03-Nov-21
303.45,08-Nov-21
303.831,09-Nov-21
303.516,10-Nov-21
302.198,11-Nov-21
302.766,12-Nov-21
301.358,15-Nov-21
299.433,16-Nov-21
299.089,17-Nov-21
297.132,18-Nov-21
292.391,22-Nov-21
295.016,23-Nov-21
295.432,24-Nov-21
295.306,25-Nov-21
289.685,26-Nov-21
287.422,29-Nov-21
287.339,30-Nov-21
289.571,01-Dec-21
291.418,02-Dec-21
290.658,03-Dec-21
288.461,06-Dec-21
290.911,07-Dec-21
293.693,08-Dec-21
294.482,09-Dec-21
294.607,10-Dec-21
293.768,13-Dec-21
293.864,14-Dec-21
292.433,15-Dec-21
291.581,16-Dec-21
288.19,17-Dec-21
282.719,20-Dec-21
284.263,21-Dec-21
286.414,22-Dec-21
288.31,23-Dec-21
286.277,24-Dec-21
286.899,27-Dec-21
289.057,28-Dec-21
288.413,29-Dec-21
288.33,30-Dec-21
289.664,31-Dec-21
292.896,03-Jan-22
294.972,04-Jan-22
296.51,05-Jan-22
296.448,06-Jan-22
296.969,07-Jan-22
300.113,10-Jan-22
299.911,11-Jan-22
301.599,12-Jan-22
303.282,13-Jan-22
303.161,14-Jan-22
304.363,17-Jan-22
301.858,18-Jan-22
302.598,19-Jan-22
302.078,20-Jan-22
298.493,21-Jan-22
294.69,24-Jan-22
298.617,25-Jan-22
299.243,27-Jan-22
300.084,28-Jan-22
302.774,31-Jan-22
303.59,01-Feb-22
305.523,02-Feb-22
304.498,03-Feb-22
302.927,04-Feb-22
301.753,07-Feb-22
301.415,08-Feb-22
303.56,09-Feb-22
304.677,10-Feb-22
302.738,11-Feb-22
295.549,14-Feb-22
299.987,15-Feb-22
299.396,16-Feb-22
298.259,17-Feb-22
298.236,18-Feb-22
296.263,21-Feb-22
293.904,22-Feb-22
294.206,23-Feb-22
284.888,24-Feb-22
290.97,25-Feb-22
293.467,28-Feb-22
293.432,02-Mar-22
293.484,03-Mar-22
290.752,04-Mar-22
287.383,07-Mar-22
289.357,08-Mar-22
291.374,09-Mar-22
293.288,10-Mar-22
294.812,11-Mar-22
296.394,14-Mar-22
294.508,15-Mar-22
297.717,16-Mar-22
300.524,17-Mar-22
299.287,21-Mar-22
300.844,22-Mar-22
300.222,23-Mar-22
300.673,24-Mar-22
300.151,25-Mar-22
301.492,28-Mar-22
301.342,29-Mar-22
302.08,30-Mar-22
302.156,31-Mar-22
306.724,01-Apr-22
310.105,04-Apr-22
310.979,05-Apr-22
312.305,06-Apr-22
311.717,07-Apr-22
313.762,08-Apr-22
314.186,11-Apr-22
311.851,12-Apr-22
312.179,13-Apr-22
312.352,18-Apr-22
311.486,19-Apr-22
311.779,20-Apr-22
314.61,21-Apr-22
312.24,22-Apr-22
307.805,25-Apr-22
310.623,26-Apr-22
308.266,27-Apr-22
310.421,28-Apr-22
307.437,29-Apr-22
307.428,02-May-22
303.628,04-May-22
303.653,05-May-22
302.35,06-May-22
300.348,09-May-22
297.909,10-May-22
296.247,11-May-22
292.418,12-May-22
291.231,13-May-22
293.299,16-May-22
298.839,17-May-22
297.791,18-May-22
294.52,19-May-22
299.326,20-May-22
298.834,23-May-22
297.501,24-May-22
296.603,25-May-22
299.185,26-May-22
300.202,27-May-22
303.259,30-May-22
303.729,31-May-22
304.312,01-Jun-22
305.284,02-Jun-22
303.741,03-Jun-22
303.052,06-Jun-22
302.55,07-Jun-22
302.711,08-Jun-22
303.511,09-Jun-22
301.565,10-Jun-22
295.581,13-Jun-22
295.503,14-Jun-22
295.106,15-Jun-22
290.437,16-Jun-22
289.97,17-Jun-22
288.162,20-Jun-22
293.09,21-Jun-22
290.835,22-Jun-22
291.966,23-Jun-22
293.41,24-Jun-22
295.754,27-Jun-22
296.522,28-Jun-22
296.18,29-Jun-22
296.125,30-Jun-22
296.69,01-Jul-22
298.272,04-Jul-22
297.799,05-Jul-22
299.614,06-Jul-22
302.219,07-Jul-22
304.117,08-Jul-22
304.785,11-Jul-22
303.432,12-Jul-22
302.451,13-Jul-22
301.658,14-Jul-22
302.74,15-Jul-22
305.667,18-Jul-22
307.297,19-Jul-22
308.821,20-Jul-22
309.947,21-Jul-22
310.478,22-Jul-22
310.889,25-Jul-22
309.437,26-Jul-22
311.806,27-Jul-22
313.662,28-Jul-22
316.375,29-Jul-22
318.967,01-Aug-22
319.75,02-Aug-22
319.571,03-Aug-22
318.647,04-Aug-22
318.836,05-Aug-22
320.719,08-Aug-22
321.203,10-Aug-22
323.259,11-Aug-22
324.596,12-Aug-22
325.884,16-Aug-22
327.594,17-Aug-22
327.616,18-Aug-22
325.348,19-Aug-22
322.677,22-Aug-22
324.67,23-Aug-22
325.287,24-Aug-22
325.012,25-Aug-22
326.375,26-Aug-22
324.09,29-Aug-22
329.222,30-Aug-22
327.642,01-Sep-22
328.02,02-Sep-22
329.548,05-Sep-22
330.078,06-Sep-22
330.572,07-Sep-22
332.531,08-Sep-22
332.788,09-Sep-22
333.708,12-Sep-22
334.774,13-Sep-22
334.767,14-Sep-22
334.772,15-Sep-22
330.581,16-Sep-22
331.386,19-Sep-22
333.218,20-Sep-22
331.912,21-Sep-22
