NAV,Date
69.3097,21-Nov-22
69.5465,22-Nov-22
69.6017,23-Nov-22
70.3219,24-Nov-22
70.3993,25-Nov-22
70.5467,28-Nov-22
70.6603,29-Nov-22
71.2764,30-Nov-22
71.5435,01-Dec-22
71.186,02-Dec-22
71.1601,05-Dec-22
70.8555,06-Dec-22
70.6933,07-Dec-22
70.9237,08-Dec-22
70.6518,09-Dec-22
70.6669,12-Dec-22
71.0099,13-Dec-22
71.3017,14-Dec-22
70.4674,15-Dec-22
69.7996,16-Dec-22
70.4426,19-Dec-22
70.2613,20-Dec-22
69.581,21-Dec-22
69.2877,22-Dec-22
68.0633,23-Dec-22
69.0055,26-Dec-22
69.4606,27-Dec-22
69.4505,28-Dec-22
69.6239,29-Dec-22
69.2475,30-Dec-22
69.5312,02-Jan-23
69.6683,03-Jan-23
69.0864,04-Jan-23
69.1289,05-Jan-23
68.8026,06-Jan-23
69.4788,09-Jan-23
68.9112,10-Jan-23
68.8571,11-Jan-23
68.8497,12-Jan-23
69.1754,13-Jan-23
68.8722,16-Jan-23
69.3165,17-Jan-23
69.7076,18-Jan-23
69.6056,19-Jan-23
69.3106,20-Jan-23
69.5537,23-Jan-23
69.4835,24-Jan-23
68.7006,25-Jan-23
67.9644,27-Jan-23
67.972,30-Jan-23
68.3001,31-Jan-23
68.3815,01-Feb-23
68.5615,02-Feb-23
69.0761,03-Feb-23
68.8942,06-Feb-23
68.6865,07-Feb-23
69.1212,08-Feb-23
69.1922,09-Feb-23
69.2348,10-Feb-23
68.9374,13-Feb-23
69.3643,14-Feb-23
69.7052,15-Feb-23
69.7663,16-Feb-23
69.5246,17-Feb-23
69.3166,20-Feb-23
69.2352,21-Feb-23
68.4787,22-Feb-23
68.2644,23-Feb-23
68.0092,24-Feb-23
67.7304,27-Feb-23
67.498,28-Feb-23
67.947,01-Mar-23
67.5066,02-Mar-23
68.1456,03-Mar-23
68.4511,06-Mar-23
68.6548,08-Mar-23
68.1267,09-Mar-23
67.5522,10-Mar-23
66.528,13-Mar-23
66.3358,14-Mar-23
66.1485,15-Mar-23
66.1788,16-Mar-23
66.5621,17-Mar-23
66.2071,20-Mar-23
66.6196,21-Mar-23
66.8406,22-Mar-23
66.5985,23-Mar-23
66.0786,24-Mar-23
66.0419,27-Mar-23
65.9713,28-Mar-23
66.5172,29-Mar-23
67.3205,31-Mar-23
67.546,03-Apr-23
68.0208,05-Apr-23
68.3506,06-Apr-23
68.4095,10-Apr-23
68.8083,11-Apr-23
69.3027,12-Apr-23
69.4279,13-Apr-23
69.1342,17-Apr-23
69.0824,18-Apr-23
68.9986,19-Apr-23
69.0521,20-Apr-23
68.9183,21-Apr-23
69.2685,24-Apr-23
69.4153,25-Apr-23
69.5754,26-Apr-23
70.0188,27-Apr-23
70.6847,28-Apr-23
70.9413,02-May-23
70.8551,03-May-23
71.515,04-May-23
71.0897,05-May-23
71.746,08-May-23
71.7424,09-May-23
72.031,10-May-23
71.8349,11-May-23
72.0204,12-May-23
72.4128,15-May-23
72.247,16-May-23
71.9631,17-May-23
71.5847,18-May-23
71.7838,19-May-23
72.1245,22-May-23
72.3377,23-May-23
72.007,24-May-23
72.3546,25-May-23
72.7789,26-May-23
73.2393,29-May-23
73.4479,30-May-23
73.2655,31-May-23
73.1558,01-Jun-23
73.4329,02-Jun-23
73.6944,05-Jun-23
73.9958,06-Jun-23
74.5641,07-Jun-23
74.1569,08-Jun-23
73.9201,09-Jun-23
74.0149,12-Jun-23
74.5967,13-Jun-23
74.5606,14-Jun-23
74.3972,15-Jun-23
75.0625,16-Jun-23
74.9997,19-Jun-23
75.182,20-Jun-23
75.1341,21-Jun-23
74.8348,22-Jun-23
74.3209,23-Jun-23
74.5011,26-Jun-23
75.0263,27-Jun-23
75.48,28-Jun-23
76.231,30-Jun-23
76.6435,03-Jul-23
76.7032,04-Jul-23
77.0226,05-Jul-23
77.3342,06-Jul-23
76.7309,07-Jul-23
76.6673,10-Jul-23
76.9694,11-Jul-23
76.8883,12-Jul-23
